dataset,filename,HBOS,CBLOF,LOF,COPOD,PCC,AutoEncoder (AE),DenoisingAutoEncoder (DAE),RobustPCA,Random Black Forest (RR),Torsk,Avg Ens.
settings_five,synthetic_batch_37.out,0.11895,5.293038,1.523559,0.133849,0.310116,0.252479,0.235069,0.263619,0.181226,27.773727,36.085632000000004
settings_five,synthetic_batch_38.out,0.119298,5.283544,1.127055,0.136345,0.30639,0.302234,0.237563,0.27176,0.186501,26.012585,33.983275
settings_five,synthetic_batch_39.out,0.120721,5.52283,1.10957,0.132759,0.306991,0.251094,0.240409,0.198592,0.181392,21.085136,29.149493999999997
settings_five,synthetic_batch_40.out,0.120026,4.517251,1.102466,0.12998,0.291642,0.238742,0.241276,0.1754,0.180338,19.214624,26.211745
settings_five,synthetic_batch_41.out,0.121505,5.93938,1.104312,0.13035,0.300095,0.235565,0.346022,0.282815,0.183677,23.763309,32.40703
settings_five,synthetic_batch_42.out,0.120145,4.387252,1.099902,0.1293,0.292159,0.249198,0.399301,0.166005,0.181245,24.101269,31.125776
settings_five,synthetic_batch_43.out,0.119961,5.515361,1.107869,0.129923,0.286426,0.238033,0.562474,0.161058,0.181805,23.382997,31.685907
settings_five,synthetic_batch_44.out,0.119052,5.252068,1.138127,0.130594,0.32806,0.245687,0.735577,0.186757,0.185122,23.709203,32.030247
settings_five,synthetic_batch_45.out,0.126486,5.168659,1.098751,0.130902,0.296417,0.250899,0.308117,0.199507,0.182499,24.441666,32.203903
settings_five,synthetic_batch_46.out,0.12028,5.838972,1.095533,0.129559,0.307569,0.254925,0.235607,0.147354,0.181132,25.104862,33.415793
settings_five,synthetic_batch_47.out,0.119765,5.336146,1.109754,0.12993,0.290918,0.257859,0.263629,0.163516,0.184996,23.655859,31.512372
settings_five,synthetic_batch_48.out,0.118814,4.56267,1.110927,0.135411,0.292414,0.290728,0.236835,0.276176,0.181866,23.746993,30.952834
settings_five,synthetic_batch_49.out,0.120051,5.23213,1.115364,0.131415,0.303815,0.249382,0.233094,0.224263,0.18118,25.032384,32.823078
settings_five,synthetic_batch_50.out,0.120735,4.714116,1.097129,0.131383,0.303554,0.254386,0.371127,0.228339,0.179043,24.309682,31.709494
settings_five,synthetic_batch_51.out,0.120602,4.835173,1.098046,0.135046,0.361465,0.262496,0.24425,0.195337,0.182971,23.029509,30.464895000000002
settings_five,synthetic_batch_52.out,0.122009,4.74631,1.091218,0.130276,0.313772,0.26696,0.240152,0.249114,0.18097,21.578597,28.919378
settings_five,synthetic_batch_53.out,0.121205,4.956603,1.111904,0.133371,0.353341,0.276624,0.232943,0.232404,0.181203,20.419073,28.018671
settings_five,synthetic_batch_54.out,0.125617,4.886891,1.103073,0.139186,0.309903,0.25532,0.260905,0.181758,0.186317,24.939192,32.388162
settings_five,synthetic_batch_55.out,0.122105,5.053937,1.127917,0.133333,0.352735,0.292642,0.257029,0.27595,0.187226,23.65298,31.455854000000002
settings_five,synthetic_batch_56.out,0.12222,6.326198,1.119393,0.132732,0.312785,0.261504,0.651239,0.277514,0.183604,23.306895,32.694084000000004
settings_five,synthetic_batch_57.out,0.121182,5.887726,1.109765,0.133448,0.288955,0.271147,0.3427,0.216866,0.182104,20.65289,29.206783
settings_five,synthetic_batch_58.out,0.121945,5.724487,1.106686,0.130701,0.298903,0.322269,0.24673,0.203097,0.18336,23.06787,31.406048
settings_five,synthetic_batch_59.out,0.127177,5.543871,1.098185,0.132064,0.312839,0.281615,0.242727,0.272018,0.215453,24.5615,32.787448999999995
settings_five,synthetic_batch_60.out,0.124513,5.970738,1.107801,0.140708,0.319013,0.382342,0.247456,0.247431,0.20389,20.728226,29.472118000000002
settings_five,synthetic_batch_61.out,0.121939,4.950601,1.104111,0.133312,0.307243,0.252982,0.231208,0.197668,0.191688,23.138539,30.629291000000002
settings_five,synthetic_batch_62.out,0.126912,5.013238,1.096676,0.130652,0.306751,0.243924,0.231688,0.185503,0.400524,22.680708,30.416576
settings_five,synthetic_batch_63.out,0.119326,5.407189,1.101714,0.15059,0.309409,0.238736,0.231196,0.249865,0.420945,23.760138,31.989108
settings_five,synthetic_batch_64.out,0.127771,5.144833,1.106452,0.202445,0.295155,0.238002,0.25694,0.195571,0.457909,26.47594,34.501018
settings_five,synthetic_batch_65.out,0.121386,4.585591,1.109461,0.143088,0.309282,0.234483,0.241402,0.271125,0.358001,20.755515,28.129334
settings_five,synthetic_batch_66.out,0.121112,4.916366,1.137932,0.2734,0.292059,0.244678,0.231409,0.271001,0.461979,22.30401,30.253946000000003
settings_five,synthetic_batch_67.out,0.120962,4.91961,1.119916,0.227436,0.307865,0.250864,0.239768,0.223997,0.456222,19.492365,27.359005
settings_five,synthetic_batch_68.out,0.120818,8.809495,1.114785,0.348147,0.285617,0.244374,0.234565,0.18292,0.325702,20.675975,32.342398
settings_five,synthetic_batch_69.out,0.121973,4.914068,1.097486,0.391392,0.309971,0.235752,0.256897,0.281523,0.225278,20.914897,28.749237
settings_five,synthetic_batch_70.out,0.120258,5.869517,1.094465,0.376036,0.299192,0.233277,0.267789,0.236942,0.207969,21.008017,29.713462
settings_five,synthetic_batch_71.out,0.120602,5.41583,1.092557,0.30824,,,,,,,6.937228999999999
settings_five,synthetic_batch_72.out,0.123711,4.918202,1.100717,0.140923,0.289778,0.235155,0.572856,0.208203,0.227209,24.762562,32.579316
settings_five,synthetic_batch_73.out,0.121693,5.401154,1.093176,0.151159,0.279402,0.236705,0.494463,0.270848,0.215671,25.111293,33.375564
settings_five,synthetic_batch_74.out,0.1212,5.071661,1.118427,0.13817,0.289424,0.234548,0.284587,0.197195,0.199427,19.908382,27.563021
settings_five,synthetic_batch_75.out,0.12072,4.670376,1.122058,0.140884,0.295835,0.243282,0.243917,0.186613,0.188287,21.864649,29.076621
settings_five,synthetic_batch_76.out,0.119296,5.646847,1.1092,0.13758,0.29096,0.246507,0.229225,0.226574,0.203848,21.917107,30.127144
settings_five,synthetic_batch_77.out,0.120386,4.5862,1.158793,0.133621,0.301123,0.2416,0.246605,0.221985,0.208625,22.713302,29.93224
settings_five,synthetic_batch_78.out,0.126048,5.145058,1.104347,0.13419,0.300436,0.233743,0.236216,0.280834,0.194898,22.695437,30.451206999999997
settings_five,synthetic_batch_79.out,0.123803,5.27307,1.11833,0.146001,0.33601,0.24201,0.23457,0.217959,0.192553,23.516417,31.400723
settings_five,synthetic_batch_80.out,0.122528,5.261715,1.111724,0.135136,0.307544,0.237755,0.231429,0.279618,0.183834,24.844573,32.715856
settings_five,synthetic_batch_81.out,0.124686,4.343016,1.097127,0.178468,0.329123,0.234288,0.23057,0.271265,0.186469,23.756299,30.751310999999998
settings_five,synthetic_batch_82.out,0.122448,4.883211,1.097815,0.134572,0.303331,0.236645,0.229498,0.241115,0.190805,23.321307,30.760747000000002
settings_five,synthetic_batch_83.out,0.121959,4.509579,1.116192,0.136618,0.29096,0.24552,0.230547,0.272763,0.198769,24.340144,31.463051
settings_five,synthetic_batch_84.out,0.121606,5.051991,1.101892,0.13791,0.291617,0.241166,0.233523,0.286385,0.184913,22.210347,29.861349999999998
settings_five,synthetic_batch_85.out,0.127652,4.962275,1.102184,0.139128,0.286829,0.27585,0.236308,0.277785,0.184706,23.332651,30.925368
settings_five,synthetic_batch_86.out,0.120878,4.586654,1.109079,0.141238,0.290233,0.318442,0.231478,0.271863,0.187835,21.947803,29.205503
settings_five,synthetic_batch_87.out,0.125549,5.064951,1.116386,0.139373,0.291866,0.617387,0.227496,0.177783,0.219042,22.108504,30.088337
settings_five,synthetic_batch_88.out,0.125111,4.563763,1.206051,0.146038,0.295109,0.34662,0.234696,0.239102,0.194962,22.247382,29.598834000000004
settings_five,synthetic_batch_89.out,0.125524,5.160137,1.122387,0.182202,0.311833,0.248659,0.230681,0.188671,0.208879,24.488682,32.267655
settings_five,synthetic_batch_90.out,0.12363,5.211825,1.108486,0.158924,0.280844,0.232025,0.254766,0.269095,0.202093,23.950795,31.792482999999997
settings_five,synthetic_batch_91.out,0.12469,4.797342,1.128286,0.15993,0.293421,0.233914,0.24315,0.212658,0.213901,24.422105,31.829397
settings_five,synthetic_batch_92.out,0.124511,4.533832,1.195729,0.152418,0.295889,0.235688,0.231582,0.275799,0.194414,23.570707,30.810569
settings_five,synthetic_batch_93.out,0.123577,4.459888,1.103455,0.144314,0.29192,0.232698,0.229791,0.193959,0.199645,24.694653,31.6739
settings_five,synthetic_batch_94.out,0.121938,5.049388,1.116684,0.143424,0.29295,0.236488,0.233537,0.23901,0.192116,21.495806,29.121341
settings_five,synthetic_batch_95.out,0.130157,4.514936,1.100894,0.145947,,,,,,,5.891933999999999
settings_five,synthetic_batch_96.out,0.120719,4.338709,1.092993,0.152982,0.339877,0.233469,0.231794,0.254446,0.214676,24.441336,31.421001
settings_five,synthetic_batch_97.out,0.120596,4.614683,1.106207,0.138351,0.338028,0.243678,0.23191,0.205661,0.242423,22.699338,29.940875000000002
settings_five,synthetic_batch_98.out,0.120626,5.033911,1.123861,0.194973,0.296023,0.237217,0.244635,0.230359,0.205529,23.333018,31.020152
settings_five,synthetic_batch_99.out,0.120838,5.1832,1.113294,0.138498,0.325397,0.233024,0.236315,0.294657,0.203364,22.32427,30.172857
